TrailNumber,Timestamp,TargetWeight,TraceWeight,obj_r1,OpenState,FinalState,steps,hyperVolumn,Len,path,PA1[0],PA1[1],PA1[2],PA1[3],PA2[0],PA2[1],PA2[2],PA2[3],PAtotal[0],PAtotal[1],PAtotal[2],PAtotal[3]
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(6-4),(7-7),4,2869868.752,33,(6-4)->(7-4)->(7-5)->(7-6)->(7-7),2.572698,1.850089,4.183474,1,3612.256262,4249.685644,4425.457483,5000,3.507137,4.119358,4.287166,4.84
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(7-4),(7-7),3,2869868.752,26,(7-4)->(7-5)->(7-6)->(7-7),2.572698,1.850089,4.183474,1,3612.256262,4249.685644,4425.457483,5000,3.507137,4.119358,4.287166,4.84
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(8-4),(10-11),9,2869868.752,73,(8-4)->(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(9-4),(10-11),8,2869868.752,66,(9-4)->(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(10-4),(10-11),7,2869868.752,64,(10-4)->(10-5)->(10-6)->(10-7)->(10-8)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(7-5),(7-7),2,2869868.752,19,(7-5)->(7-6)->(7-7),2.572698,1.850089,4.183474,1,3612.256262,4249.685644,4425.457483,5000,3.507137,4.119358,4.287166,4.84
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(8-5),(10-11),8,2869868.752,66,(8-5)->(8-6)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(9-5),(10-11),7,2869868.752,59,(9-5)->(9-6)->(9-7)->(9-8)->(9-9)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(10-5),(10-11),6,2869868.752,56,(10-5)->(10-6)->(10-7)->(10-8)->(10-9)->(10-10)->(10-11),2.627297,1,1.85,1,9913.86713,10000,11900,14000,9.556662,9.64,11.46366,13.48
0,1500,1500.000000|2350.000000,0.040000|0.960000,0,(7-6),(7-7),1,2869868.752,12,(7-6)->(7-7),2.572698,1.850089,4.183474,1,3612.256262,4249.685644,4425.457483,5000,3.507137,4.119358,4.287166,4.84
